"Timestamp","Sexo","Edad","País","Ocupación","Orientación Sexual","¿Eres segura/seguro de ti mismo?","¿Te sientes segura/seguro estando sola/solo? ","¿Dependes de otras personas para animarte a realizar nuevas actividades?","¿Necesitas saber que hay gente que respalda tu opinión para poder expresarla?","¿Temes por ""terminar solo""? ","De las siguientes características, ¿con cuáles te identificas? ","Te aburres fácilmente.","Te consideras una persona celosa.","Te consideras una persona emocionalmente inestable.","Te consideras una persona ansiosa.","Eres buena/bueno mintiendo","Te gusta sentirte deseada / deseado."," ¿Qué tanto estás dispuesto a soportar maltrato físico o psicológico con tal de que una persona se quede a tu lado?","Cuando estás en una relación, ¿Qué tan a menudo sientes de forma espontánea que la relación va a acabar?","¿Actualmente tienes pareja?","¿Alguna vez has regresado con una ex pareja?","¿Qué le dirías a tu ex pareja si la vieras de nuevo?","¿Cómo sería tu pareja ideal?","¿Alguna vez has sido infiel?","¿Por qué fuiste infiel?","¿Alguna vez te han sido infiel?","Antes de haber sido infiel, ¿a ti te fueron infiel?","¿Has perdonado alguna infidelidad?","¿Te han perdonado alguna infidelidad?","¿Crees en la monogámia?","¿Cuántas parejas has tenido en toda tu vida?","¿Cuáles fueron las principales razónes por las que fuiste infiel?","En promedio, ¿Cuánto dinero le dedicas/dedicabas a tu pareja al mes? ","En promedio, ¿Cuántas horas a la semana pasas/pasabas con tu pareja?","¿Cuánto ha durado tu relación más larga?","¿Consideras que tu pareja te satisface/satisfizo en todos los ámbitos?","¿Tienes relaciones sexuales con personas que no conoces frecuentemente?","Tu pareja te amenaza con dejarte porque no quieres mantener relaciones sexuales con ella/él, tú...","¿Consideras la posibilidad de tener hijos?","¿Por qué te gustaría/no te gustaría tener hijos?","¿Cuántos hijos tienes/te gustaría tener?"
"2021/06/15 3:48:49 pm GMT-5","Masculino","21","México","Estudiante","Heterosexual","Sí","Sí","Sí","No","No","Lugar prioritario de la relación.;Necesidad de agradar.;Deseos de exclusividad.;Déficit de habilidades sociales","2","5","2","2","1","2","5","4","No","Sí","Realmente solo la saludarla cordialmente y la evitaría incomodar. ","Tendría que tener sus objetivos definidos y no sea dependiente emocionalmente.","No","No he sido infiel.","Sí","No he sido infiel.","No","No he sido infiel.","Sí","4","No he sido infiel.","800","10","2 años","Sí","No","Te niegas y la/lo dejas.","Sí","La oportunidad de criar a una persona desde cero y ver cómo crece. ","2"
"2021/06/15 3:50:39 pm GMT-5","Femenino","21","México ","Estudiante","Heterosexual","No","Sí","Sí","Sí","No","Baja autoestima.;Autoanulación.;Necesidad de agradar.;Deseos de exclusividad.;Déficit de habilidades sociales","3","4","4","5","4","4","1","1","Sí","No","Nada ","Una relación de compresión y respeto ","No","No he sido infiel.","Sí","Me han sido infiel y depués de ello yo NO he sido infiel.","No","No he sido infiel.","No","5","No he sido infiel.","400","12","3 qñosv","Sí","No","Te niegas y la/lo dejas.","Tal vez","El mundo es complicado ","1"
"2021/06/15 3:52:52 pm GMT-5","Femenino","17","México","Estudiante","Heterosexual","Sí","Sí","Sí","Sí","Sí","Necesidad de agradar.;Déficit de habilidades sociales","2","5","4","5","4","5","1","4","No","Sí","No quiero saber más de ti. ","Honesta, respetuosa y directo. ","No","No he sido infiel.","No","No he sido infiel.","No me han sido infiel.","No he sido infiel.","Sí","3","No he sido infiel.","200","15","7 meses ","No","No","Te niegas y la/lo dejas.","No","Hay muchísimas personas en el mundo, seguir teniendo hijos quizás por ""gusto"" sería egoísta con el planeta, además, en la actualidad dónde siendo mujer es un lugar muy inseguro, no quisiera tener una hija que pase por ese miedo. ","No quisiera tener. "
"2021/06/15 3:55:54 pm GMT-5","Femenino","20","México","Estudiante","Heterosexual","Sí","Sí","No","No","No","Deseos de exclusividad.","3","1","1","3","1","4","1","1","No","Sí","No nos veamos más.","Amable.","Sí","Una apuesta.","No","No","No me han sido infiel.","Sí","Sí","2","Porque no pensé que estuviese siendo infiel.","300 pesos","5","3 años","Sí","No","Te niegas y la/lo dejas.","Tal vez","","2"
"2021/06/15 4:00:50 pm GMT-5","Femenino","24","México","Estudiante","Heterosexual","No","Sí","Sí","No","Sí","Baja autoestima.;Miedo a la soledad.;Necesidad de agradar.","3","2","3","4","2","4","1","2","No","Sí","Que sí no tenía claro cuales eran sus sentimientos hacia mi, lo hubiera dejado claro desde un inicio, así no desperdiciaba mis sentimientos y tiempo con el.","A este punto, ya no pido nada, más que sea comunicativo con todo lo que piensa y siente sobre mi, atento, detallista y sincero","No","No he sido infiel.","No","Me han sido infiel y depués de ello yo NO he sido infiel.","No me han sido infiel.","No he sido infiel.","No","7","No he sido infiel.","800","20","9 meses ","No","Sí","Aceptas pero sabes que gradualmente eso te desgastará y terminarás dejandola/dejandolo.","Tal vez","Situación económica, laboral y personal ","2"
"2021/06/15 4:14:12 pm GMT-5","Femenino","20","México ","Estudiante","Heterosexual","No","No","Sí","Sí","Sí","Baja autoestima.;Miedo a la soledad.;Necesidad de agradar.","2","4","4","4","3","4","2","5","Sí","No","Fuck u ","Empática y fiel ","No","No he sido infiel.","Sí","No","Sí","No he sido infiel.","Sí","2","No he sido infiel.","500","10","2 años ","Sí","No","Te niegas y la/lo dejas.","Tal vez","Son una gran responsabilidad que no pienso cargar ","Ninguno "
"2021/06/15 4:42:56 pm GMT-5","Masculino","20","Mexico","Empleado y estudiante ","Heterosexual","Sí","Sí","Sí","Sí","No","Necesidad de acceso continuo al compañero.;Necesidad de agradar.;Deseos de exclusividad.","2","2","1","2","4","3","1","1","No","Sí","Preguntarle sobre cómo le ha ido ","Sin una dependencia emocional y centrada en su futuro ","No","No he sido infiel.","No","No he sido infiel.","No me han sido infiel.","No he sido infiel.","Sí","3","No he sido infiel.","Hasta 8,000","20","2 años","Sí","No","Te niegas pero tratas de convencerla/convenserlo de que la amas/lo amas.","Tal vez","Al momento no me siento con la capacidad mental ni económica ","0"
"2021/06/15 4:43:39 pm GMT-5","Femenino","21","México ","Estudiante","Heterosexual","Sí","Sí","Sí","No","No","Necesidad de agradar.;Déficit de habilidades sociales","5","3","1","1","5","5","1","1","No","Sí","Deberíamos charlar más","Conversador, buen oyente, gracioso, atento, simpático, que nos apoyemos mutuamente, que sea su prioridad, caballeroso, inteligente","No","No he sido infiel.","No","No he sido infiel.","No me han sido infiel.","No he sido infiel.","Sí","2","No he sido infiel.","100","1 ","3 meses","No","No","Te niegas y la/lo dejas.","Tal vez","Son una gran responsabilidad y el ambiente en que se desarrolle debe ser óptimo, debe ser amado y deseado. Por ello aún no me decido, tal vez en un futuro muy lejano ","1"
"2021/06/15 5:00:34 pm GMT-5","Femenino","21","México","Estudiante","Heterosexual","Sí","Sí","No","No","No","Necesidad de agradar.;Deseos de exclusividad.","5","1","2","5","2","5","1","1","Sí","Sí","Gracias por todo el tiempo que compartimos, fuiste una persona muy importante en mi vida.  ","Alguien con quien tenga buena comunicación, respeto y que me quiera. ","No","No he sido infiel.","Sí","Me han sido infiel y depués de ello yo NO he sido infiel.","Sí","No he sido infiel.","Sí","6","No he sido infiel.","2000","23","3 años 5 meses ","Sí","Sí","Te niegas y la/lo dejas.","Sí","Porque me gustan los niños. ","2"
"2021/06/15 5:07:16 pm GMT-5","Femenino","20","México","Estudiante","Demisexual","No","Sí","Sí","No","Sí","Baja autoestima.;Autoanulación.;Necesidad de agradar.;Deseos de exclusividad.","4","5","4","5","2","4","1","2","No","No","Depende mucho la situación, lo he visto muchas veces en un lugar que ambos frecuentábamos (la iglesia) pero a veces sólo nos saludábamos, otras veces no. Si lo viera fuera de ese contexto yo creo que sólo le diría que espero que le haya ido bien o que es coincidencia volver a verlo","Alguien que constantemente comunique sus emociones conmigo, que sea entusiasta con lo que hace/estudia. También que sea paciente conmigo y al menos tenga cierto interés en mis gustos (como yo en los suyos). Físicamente me gustaría que sea más alto que yo, quizás que tenga muchos lunares en el rostro y cabello negro medio largo","No","No he sido infiel.","No","No he sido infiel.","No me han sido infiel.","No he sido infiel.","Sí","1","No he sido infiel.","50 pesos","2.5","Cuatro meses","No","No","Te niegas y la/lo dejas.","Tal vez","Creo que la experiencia maternal es muy bonita, además de que hay muchas cosas que quisiera enseñarle respecto a lenguajes. La parte que me dice que no es que ahora no soy muy estable emocionalmente y no sé si en algún momento pueda lograr estabilizarme, entonces no quiero asegurar que sería una buena madre","1 o 2"
"2021/06/15 5:18:07 pm GMT-5","Masculino","30","México","Ventas","Homosexual","Sí","Sí","No","No","No","Deseos de exclusividad.;Déficit de habilidades sociales","1","2","2","1","2","5","1","1","Sí","Sí","Ojalá te vaya bien","Sincero, leal, sencillo ","No","No he sido infiel.","Sí","Me han sido infiel y depués de ello yo NO he sido infiel.","Sí","No he sido infiel.","Sí","4","No he sido infiel.","500","10","Casi 5 años","Sí","No","Te niegas pero tratas de convencerla/convenserlo de que la amas/lo amas.","Tal vez","Solo adoptarlos y por querer ser papá ","1 o 2"
"2021/06/15 5:18:55 pm GMT-5","Femenino","47","México","Modista ","Heterosexual","Sí","Sí","No","No","No","Necesidad de agradar.;Deseos de exclusividad.","2","2","1","4","2","5","1","2","No","No","Gracias por las enseñanzas pero no volverá a ser ","Respetuoso, educado, amable empatico y feliz ","No","No he sido infiel.","No","No he sido infiel.","No me han sido infiel.","No he sido infiel.","Sí","3","No he sido infiel.","250","3","29 años ","Sí","No","Te niegas y la/lo dejas.","Sí","Ya las tuve y fue gratificante","3"
"2021/06/15 5:20:59 pm GMT-5","Femenino","20","México ","Estudiante","Heterosexual","Sí","Sí","Sí","No","No","Deseos de exclusividad.;Ocupar un papel inferior en la relación de pareja","5","3","1","2","3","4","1","1","No","Sí",".","Responsable afectivamente, honesto y educado.","No","No he sido infiel.","Sí","Me han sido infiel y depués de ello yo NO he sido infiel.","Sí","No he sido infiel.","No","3","No he sido infiel.","500","7","1 año ","No","No","Te niegas y la/lo dejas.","No","Por las condiciones sociales, financieras y emocionales por las que hoy en día muchos estamos atravezando, además que considero no sería justo traer hijos al mundo si no me siento lista para afrontar responsabilidades tan grandes, un hijo no llenaría mi vida por el momento. ","0"
"2021/06/15 5:24:07 pm GMT-5","Masculino","47","Mexico","Taxista","Heterosexual","Sí","Sí","No","No","No","Miedo a la soledad.","2","1","1","2","1","1","1","1","Sí","No","No tengo","La pareja q tengo","No","No he sido infiel.","No","No he sido infiel.","No me han sido infiel.","No he sido infiel.","No","1","No he sido infiel.","6000","20","25 años","Sí","No","","Tal vez","No puedo tener hijos","No tengo hijos"
"2021/06/15 5:27:45 pm GMT-5","Femenino","23","México","Estudiante","Bisexual","Sí","Sí","No","No","No","Deseos de exclusividad.","4","1","1","2","3","5","1","1","Sí","Sí","¿Cómo te ha ido?","Inteligente, leal y divertido","Sí","No me sentía a gusto con mi pareja y él se negaba a terminar la relación aunque ","No","No","No me han sido infiel.","Sí","No","4","Falta de conexión y comprensión","1500","5-7","6 años","Sí","No","Te niegas y la/lo dejas.","No","Representan una gran inversión de tiempo/dinero que no se ajustan a la vida que quiero","Ninguno"
"2021/06/15 5:39:55 pm GMT-5","Masculino","21","México ","Estudiante","Heterosexual","Sí","Sí","No","No","Sí","Deseos de exclusividad.","5","3","1","5","5","5","1","5","No","No","Simplemente que extraño su compañía","","No","No he sido infiel.","Sí","No he sido infiel.","No","No he sido infiel.","Sí","2","No he sido infiel.","800","5","3 meses ","Sí","Sí","Te niegas pero tratas de convencerla/convenserlo de que la amas/lo amas.","Sí","","2"
"2021/06/15 5:40:35 pm GMT-5","Femenino","20","México ","Estudiante","Heterosexual","No","Sí","No","Sí","No","Baja autoestima.;Estado de ánimo disfórico.;Autoanulación.","3","2","3","4","2","4","1","3","Sí","No","Que siempre me ha caído bien","Buena persona, amable, cariñosa, divertida ","No","No he sido infiel.","Sí","No he sido infiel.","No","No he sido infiel.","Sí","3","No he sido infiel.","$500","6","3 años y medio","Sí","No","Te niegas y la/lo dejas.","Sí","Porque me gustaría enseñarle a alguien lo bonito de la vida","1 o 2"
"2021/06/15 5:59:32 pm GMT-5","Femenino","60","México ","Profesora","Heterosexual","Sí","Sí","No","No","No","Ocupar un papel inferior en la relación de pareja","1","1","1","1","1","1","1","1","Sí","Sí","Nada","Atenta, cariñosa, inteligente","No","No he sido infiel.","Sí","Me han sido infiel y depués de ello yo NO he sido infiel.","Sí","No he sido infiel.","Sí","2","No he sido infiel.","Nada","5 ","35 años","Sí","No","Te niegas pero tratas de convencerla/convenserlo de que la amas/lo amas.","No","","1"
"2021/06/15 6:04:25 pm GMT-5","Masculino","22","Mejico","Trabajador","Heterosexual","Sí","Sí","No","No","No","Deseos de exclusividad.","4","3","2","4","5","4","1","3","No","No","Espero que te vaya bien, quizás las cosas no fueron o continuaron como quisimos o pensamos pero te agradezco el tiempo, lo bueno y lo malo, aprendí mucho en ese tiempo, te deseo lo mejor.","Me basta con que no me aburra estar con esa persona, que me inspire emoción ver a la persona y pasar tiempo juntos, todo mutuo.","No","No he sido infiel.","Sí","No he sido infiel.","Sí","No he sido infiel.","No","5","No he sido infiel.","2000","30","3 años ","Sí","No","Aceptas pero sabes que gradualmente eso te desgastará y terminarás dejandola/dejandolo.","Sí","Me hace ilusión tener hijos en un futuro.","2"
"2021/06/15 6:08:18 pm GMT-5","Masculino","21","México ","Estudiante","Heterosexual","Sí","Sí","No","No","No","Lugar prioritario de la relación.","4","1","2","4","1","1","1","1","No","No","Nada","No hay pareja ideal. Simplemente necesitas sentirte cómodo con esa persona.","No","No he sido infiel.","Sí","No he sido infiel.","No","No he sido infiel.","Sí","5","No he sido infiel.","500","10","5 meses.","Sí","No","Te niegas y la/lo dejas.","Tal vez","Me gustaría adoptar.","2"
"2021/06/15 6:17:27 pm GMT-5","Femenino","21","México","Estudiante","Bisexual","No","Sí","Sí","No","No","Baja autoestima.;Estado de ánimo disfórico.;Necesidad de acceso continuo al compañero.;Deseos de exclusividad.;Déficit de habilidades sociales;Ocupar un papel inferior en la relación de pareja","5","2","5","5","5","5","1","2","No","No","Hola. 
Sólo lo saludaría rápidamente. ","Que tengamos gustos musicales similares, que sea muy romántico, que  sea apasionado, inteligente, fuerte y valore la salud física y mental. Y que me quiera ): ","No","No he sido infiel.","No","No he sido infiel.","No me han sido infiel.","No he sido infiel.","Sí","11","No he sido infiel.","1500","50","2 años","No","No","Te niegas y la/lo dejas.","Sí","Porque quiero saber qué sale de mí y mi pareja, qué heredará, cómo será su fenotipo, enfermedades que va a padecer, etc. ","1"
"2021/06/15 6:18:12 pm GMT-5","Masculino","20","México ","Estudiante","Homosexual","No","No","Sí","Sí","Sí","Baja autoestima.;Miedo a la soledad.;Estado de ánimo disfórico.;Lugar prioritario de la relación.;Necesidad de acceso continuo al compañero.;Autoanulación.;Necesidad de agradar.;Deseos de exclusividad.;Déficit de habilidades sociales","4","5","5","5","5","5","1","5","Sí","Sí","Te odio ","Chida ","Sí","Venganza ","Sí","Sí","Sí","No","Sí","6","Venganza ","1000","8","Un año ","Sí","No","Te niegas y la/lo dejas.","Sí","Sería una buena experiencia ","3"
"2021/06/15 6:19:24 pm GMT-5","Femenino","20","México","Estudiante","Heterosexual","No","No","Sí","No","Sí","Baja autoestima.;Miedo a la soledad.;Lugar prioritario de la relación.;Necesidad de acceso continuo al compañero.;Autoanulación.","5","5","4","2","1","5","2","4","No","Sí","Nada...","Que me dé mucha atención. ","Sí","Pensé que no pasaría nada...","Sí","Sí","Sí","No","Sí","4","Vacío emocional","No recuerdo","10","1 año 1 mes ","No","No","Te niegas pero tratas de convencerla/convenserlo de que la amas/lo amas.","Tal vez","Supongo que quisiera tener la emoción de esperar un bebé, lo bonito que puede ser. ","1"
"2021/06/15 6:38:37 pm GMT-5","Femenino","47","México","Contador","Heterosexual","Sí","Sí","Sí","No","No","Déficit de habilidades sociales","4","3","2","1","2","3","1","3","No","No","Nada","Que sea honesta y te valore. ","No","No he sido infiel.","No","No he sido infiel.","No me han sido infiel.","No he sido infiel.","No","2","No he sido infiel.","No sé","8","5 años","No","No","Te niegas y la/lo dejas.","No","No ","0"
"2021/06/15 6:50:59 pm GMT-5","Femenino","21","México","Estudiante","Bisexual","No","Sí","Sí","Sí","No","Baja autoestima.;Estado de ánimo disfórico.;Necesidad de agradar.;Déficit de habilidades sociales","2","2","4","2","5","2","1","2","No","Sí","Que lo estimó mucho","","No","No he sido infiel.","No","No","No","No he sido infiel.","No","2","No he sido infiel.","400","90","1año 9 meses ","Sí","No","Te niegas y la/lo dejas.","No","","0"
"2021/06/15 6:54:20 pm GMT-5","Femenino","21","México","Estudiante","Bisexual","Sí","Sí","No","No","No","Estado de ánimo disfórico.;Necesidad de acceso continuo al compañero.;Deseos de exclusividad.","4","2","5","5","2","4","1","1","No","Sí","Que se vaya a la verga","Esto suena muy narcisista pero hago un esfuerzo por explicarlo: como yo, es decir, que sea segura de sí misma, que sea divertida y que no tema al compromiso a largo plazo","No","No he sido infiel.","Sí","No he sido infiel.","Sí","No he sido infiel.","Sí","2","No he sido infiel.","Entre 200 y 2000","33","3 años 4 meses","No","No","Aceptas pero sabes que gradualmente eso te desgastará y terminarás dejandola/dejandolo.","No","Porque no quiero mantener a otra persona sabiendo que tengo que mantenerme a mí, no me considero una buena candidata para dedicar mi vida al cuidado de alguien más","0"
"2021/06/15 7:03:12 pm GMT-5","Masculino","21","México","Estudiante","Heterosexual","Sí","No","Sí","No","Sí","Lugar prioritario de la relación.;Necesidad de agradar.;Deseos de exclusividad.;Déficit de habilidades sociales;Ocupar un papel inferior en la relación de pareja","3","4","1","4","2","5","2","3","No","Sí","Que lo siento por lo que pude haber hecho para que terminara nuestra relación, y agradecer por lo maravilloso que fue el haber pasado el tiempo con ella.","Alguien que comparta casi el 60% de gustos que yo, que sea fuerte, sensible y también que me inspire a ser mejor.","Sí","Porque crei que sería divertido y porque no me interesaba la relación en la que estaba.","Sí","Me han sido infiel y depués de ello yo NO he sido infiel.","Sí","Sí","No","10","Diversión","2000 aprox.","12","3años y 5meses","No","No","Te niegas pero tratas de convencerla/convenserlo de que la amas/lo amas.","Sí","Ha sido mi deseo desde niño, probablemente para ser mejor padre o sentir que hice algo para el bien de quienes me importan.","2"
"2021/06/15 7:06:24 pm GMT-5","Femenino","21","México ","Estudiante","Heterosexual","Sí","Sí","Sí","Sí","Sí","Miedo a la soledad.;Necesidad de acceso continuo al compañero.;Deseos de exclusividad.","4","2","2","3","2","4","1","1","Sí","No","Hola, cómo estás?","Persona respetuosa, empática, inteligente y noble","No","No he sido infiel.","No","No","No me han sido infiel.","No he sido infiel.","Sí","2","No he sido infiel.","300","10","4 años","No","No","Te niegas y la/lo dejas.","Sí","Me gustaría enseñarle a alguien todo lo que he aprendido","2"
"2021/06/15 7:07:32 pm GMT-5","Masculino","20","México","Estudiante","Heterosexual","Sí","Sí","Sí","No","No","Ocupar un papel inferior en la relación de pareja","3","2","2","3","3","4","2","2","Sí","Sí","Me gustaría saber que ha sido de su vida","Empática, cariñosa, amable.","No","No he sido infiel.","Sí","No he sido infiel.","Sí","No he sido infiel.","Sí","4","No he sido infiel.","300","4","5 años","Sí","No","Te niegas pero tratas de convencerla/convenserlo de que la amas/lo amas.","Sí","Porque me gustan los niños y me gustaría tanto enseñarles como aprender de ellos, verlos crecer y ser personas de bien","3 "
"2021/06/15 7:07:33 pm GMT-5","Femenino","21","México ","Estudiante","Heterosexual","No","No","Sí","Sí","Sí","Miedo a la soledad.;Estado de ánimo disfórico.;Autoanulación.","3","2","2","3","2","5","2","2","No","No","Que le deseo mucho bien. ","","No","No he sido infiel.","No","No he sido infiel.","No me han sido infiel.","No he sido infiel.","Sí","3","No he sido infiel.","500","15","4 años ","No","No","Te niegas y la/lo dejas.","No","Tengo otras prioridades ","0"
"2021/06/15 7:08:03 pm GMT-5","Masculino","22","México","Estudiante","Heterosexual","Sí","Sí","No","No","Sí","Estado de ánimo disfórico.;Lugar prioritario de la relación.;Necesidad de agradar.;Deseos de exclusividad.","4","3","2","5","4","3","4","3","Sí","No","no he tenido","","No","No he sido infiel.","No","No he sido infiel.","No me han sido infiel.","No he sido infiel.","Sí","1","No he sido infiel.","300","20","quince meses","No","No","Aceptas pero sabes que gradualmente eso te desgastará y terminarás dejandola/dejandolo.","Sí","","2"
"2021/06/15 7:09:08 pm GMT-5","Femenino","20","México","Estudiante","Heterosexual","No","Sí","No","No","Sí","Baja autoestima.;Lugar prioritario de la relación.;Deseos de exclusividad.","3","2","3","4","3","5","2","4","No","Sí","Gracias por haberte ido de mi vida. Hoy entiendo que eres una persona machista y violenta","","Sí","Por falta de responsabilidad afectiva de mi parte hacia la otra persona","Sí","Sí","Sí","No","Sí","5","Por tener apego a mi pareja y no terminar la relación antes de tener algo con otra persona","500","10","Dos años y medio","Sí","","Te niegas y la/lo dejas.","Tal vez","","2"
"2021/06/15 7:11:34 pm GMT-5","Femenino","22","México","Estudiante","Heterosexual","Sí","Sí","No","No","Sí","Deseos de exclusividad.","4","2","1","4","2","4","1","2","Sí","No","Hola ","Una persona con responsabilidad afectiva, buena comunicando lo que piensa, demostración sus sentimientos, con disposición para hablar y solucionar las cosas.","No","No he sido infiel.","No","No he sido infiel.","No me han sido infiel.","No he sido infiel.","Sí","4","No he sido infiel.","500","20","16 meses","Sí","No","Te niegas y la/lo dejas.","Tal vez","Porque es una gran responsabilidad ","2"
"2021/06/15 7:14:05 pm GMT-5","Femenino","21","México ","Estudiante","Bisexual","No","Sí","No","No","Sí","Déficit de habilidades sociales","3","4","2","5","3","5","1","3","Sí","No","Estamos mejor desde que empezamos a llevarnos como amigos","Detallista, le importe mis sentimientos, apoyo mutuo, sepa escucharme cuando lo necesito ","Sí","Falta de atencion ","Sí","No","No","Sí","No","2","Falta de atencion","500","8","5 años","No","No","Te niegas y la/lo dejas.","No","Porque no me siento capaz de ser una figura materna y no quiero que haya más niños en el mundo","0"
"2021/06/15 7:14:34 pm GMT-5","Masculino","20","México","Estudiante","Heterosexual","Sí","Sí","No","No","No","Lugar prioritario de la relación.","2","5","1","5","5","5","1","1","No","No","Vete a la verga ","Güera, inteligente, alta, delgada, con una profesión y autosuficiente","Sí","Me gustaba la sensación de peligro ","Sí","No","No","Sí","No","13","Me gusta la aventura","0","2","1 año","No","No","Te niegas y la/lo dejas.","Sí","Porque quiero que haya un legado de mi persona en el mundo, y hacer de mi hijo una persona de bien ","5"
"2021/06/15 7:15:05 pm GMT-5","Masculino","28","Mexico","Actuario","Bisexual","Sí","Sí","No","No","No","Lugar prioritario de la relación.","3","2","1","3","3","4","1","2","No","No","Hola, cómo estás ?, cómo te trata la vida ? ","","Sí","No estaba a gusto con la persona con quien estaba","Sí","No","No","No","Sí","8","No me sentía cómodo con mi pareja en ese momento","5,000","5","2 años","Sí","Sí","","Tal vez","","2"
"2021/06/15 7:17:30 pm GMT-5","Masculino","20","México","Estudiante","Heterosexual","No","Sí","Sí","No","No","Deseos de exclusividad.;Déficit de habilidades sociales","1","1","1","4","4","4","1","2","Sí","Sí","¿pues cuánto tiempo a pasado (""ahora está más hermosa pero no lo mencionaría"")?","Como Kaley Cuoco la actriz de la teoria de big bang, hermosa y muy sexi.","No","No he sido infiel.","No","No he sido infiel.","No me han sido infiel.","No he sido infiel.","No","4","No he sido infiel.","1000-1500","15","8 meses","Sí","Sí","Aceptas por miedo a que te deje.","Sí","Compañía, transferencia de genes, la reproducción es uno de los objetivos de la vida, presumirles mis hijos a mi familia XD","Una pregunta difícil, considero debe ser planteada en un par de años cuando decida tener hijos y consultarlo con mi pareja pero si fuera por mí tendría 1 o dos por si el primero es niña jaja no es cierto quiero tener al menos 2 hijos."
"2021/06/15 7:18:31 pm GMT-5","Masculino","21","México","Estudiante","Heterosexual","Sí","Sí","Sí","Sí","Sí","Estado de ánimo disfórico.;Necesidad de agradar.;Deseos de exclusividad.","4","3","3","4","5","4","1","2","No","Sí","Te extraño. ","Qué luche por sus sueños, que me apoye y que ambos salgamos adelante. ","Sí","Desquite. ","No","No","No me han sido infiel.","Sí","Sí","4","Lujuria. ","300","6","Medio año. ","Sí","Sí","Aceptas pero sabes que gradualmente eso te desgastará y terminarás dejandola/dejandolo.","Tal vez","Sueños propios. ","3"
"2021/06/15 7:24:12 pm GMT-5","Femenino","21","México ","Estudiante","Heterosexual","Sí","Sí","No","No","Sí","Lugar prioritario de la relación.","3","5","3","3","3","3","1","3","Sí","Sí","Éxito con tu vida 😎","Risueño, con ojos bonitos. ","No","No he sido infiel.","Sí","No he sido infiel.","Sí","No he sido infiel.","Sí","4","No he sido infiel.","1000","24 hrs","3 años ","Sí","No","Te niegas y la/lo dejas.","Sí","Me da ilusión ser mamá y tener descendencia ","2"
"2021/06/15 7:27:22 pm GMT-5","Femenino","22","México ","Estudiante","Heterosexual","No","Sí","Sí","Sí","Sí","Baja autoestima.;Miedo a la soledad.;Necesidad de acceso continuo al compañero.;Necesidad de agradar.;Deseos de exclusividad.;Déficit de habilidades sociales;Ocupar un papel inferior en la relación de pareja","4","2","4","5","4","5","1","2","No","Sí","Que aún lo quiero","Una persona sincera, que de lo mejor y que sea amable","No","No he sido infiel.","No","Me han sido infiel y depués de ello yo NO he sido infiel.","No me han sido infiel.","No he sido infiel.","Sí","1","No he sido infiel.","600","7","5 años","No","No","Te niegas pero tratas de convencerla/convencerlo de que la amas/lo amas.","Tal vez","Me da miedo equivocarme","2"
"2021/06/15 7:31:29 pm GMT-5","Masculino","22","México","Estudiante","Heterosexual","Sí","Sí","No","No","Sí","Necesidad de agradar.","3","3","1","3","3","5","1","3","No","Sí","Cómo estás?","Que sea honesta, buena conversación.","No","No he sido infiel.","Sí","No he sido infiel.","No","No he sido infiel.","No","7","No he sido infiel.","2000","15 ","6 meses","No","No","Te niegas y la/lo dejas.","Sí","Familia","2"
"2021/06/15 7:39:16 pm GMT-5","Femenino","21","México","Estudiante","Heterosexual","No","Sí","No","Sí","No","Baja autoestima.","5","1","2","2","4","4","1","1","No","No","Hola, ¿cómo estás?","Alguien divertido, con quien pueda ser yo misma, alguien con quien tenga tiempo para mí.","No","No he sido infiel.","No","No he sido infiel.","No me han sido infiel.","No he sido infiel.","Sí","1","No he sido infiel.","200","12","4 meses","Sí","No","Te niegas y la/lo dejas.","Tal vez","Aún no estoy segura, pero considero que es demasiada responsabilidad y no es compatible con mis planes a futuro.","Si llego a tener me gustaría que solo fuera uno"
"2021/06/15 7:40:26 pm GMT-5","Femenino","47","México ","Asistente ","Heterosexual","Sí","Sí","No","No","No","Lugar prioritario de la relación.","4","4","2","4","2","5","1","2","Sí","Sí","Que esperaría que todo vaya bien con el","Honesto, sincero, alegre, bailador","Sí","Lejanía con la pareja actual en su momento","Sí","Sí","Sí","Sí","Sí","4","Falta de atenciones ","Nada","20","16 años","Sí","No","Te niegas y la/lo dejas.","No","Ya tengo","2"
